gene_id	chromosome_name	description
Potra2n1c55	chr1	sp|Q9LFA4|IQM3_ARATH IQ domain-containing protein IQM3 OS=Arabidopsis thaliana OX=3702 GN=IQM3 PE=2 SV=1
Potra2n1c56	chr1	sp|F1CMY8|KSHA5_RHORH 3-ketosteroid-9-alpha-monooxygenase, oxygenase component OS=Rhodococcus rhodochrous OX=1829 GN=kshA PE=1 SV=1
Potra2n1c57	chr1	sp|Q4WTW3|YOP1_ASPFU Protein yop1 OS=Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) OX=330879 GN=yop1 PE=3 SV=1
Potra2n1c58	chr1	sp|Q9LFA4|IQM3_ARATH IQ domain-containing protein IQM3 OS=Arabidopsis thaliana OX=3702 GN=IQM3 PE=2 SV=1
Potra2n1c59	chr1	sp|O13701|TAF7_SCHPO Transcription initiation factor TFIID subunit 7 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=taf7 PE=1 SV=1
Potra2n1c60	chr1	sp|Q9SD84|PDCB2_ARATH PLASMODESMATA CALLOSE-BINDING PROTEIN 2 OS=Arabidopsis thaliana OX=3702 GN=PDCB2 PE=1 SV=1
Potra2n1c61	chr1	sp|O70490|ACSM2_RAT Acyl-coenzyme A synthetase ACSM2, mitochondrial OS=Rattus norvegicus OX=10116 GN=Acsm2 PE=2 SV=2
Potra2n1c62	chr1	sp|P0C063|GRSB_ANEMI Gramicidin S synthase 2 OS=Aneurinibacillus migulanus OX=47500 GN=grsB PE=3 SV=2
Potra2n1c63	chr1	sp|Q9Z3T0|EFE_PSESJ 2-oxoglutarate-dependent ethylene/succinate-forming enzyme OS=Pseudomonas syringae pv. pisi OX=59510 GN=efe PE=3 SV=1
Potra2n1c64	chr1	sp|Q9M0C2|EGC1_ARATH Putative EG45-like domain containing protein 1 OS=Arabidopsis thaliana OX=3702 GN=EGC1 PE=3 SV=1
Potra2n1c65	chr1	sp|Q9Z3T0|EFE_PSESJ 2-oxoglutarate-dependent ethylene/succinate-forming enzyme OS=Pseudomonas syringae pv. pisi OX=59510 GN=efe PE=3 SV=1
Potra2n1c66	chr1	sp|Q63016|LAT1_RAT Large neutral amino acids transporter small subunit 1 OS=Rattus norvegicus OX=10116 GN=Slc7a5 PE=1 SV=2
Potra2n1c67	chr1	sp|O53092|ARCD_LACSK Arginine/ornithine antiporter OS=Lactobacillus sakei OX=1599 GN=arcD PE=3 SV=1
Potra2n1c68	chr1	sp|Q6CZT4|PLY1_PECAS Pectate lyase 1 OS=Pectobacterium atrosepticum (strain SCRI 1043 / ATCC BAA-672) OX=218491 GN=pel1 PE=1 SV=1
Potra2n1c69	chr1	None available
Potra2n1c70	chr1	None available
Potra2n1c71	chr1	sp|P53797|PSY_NARPS Phytoene synthase, chloroplastic OS=Narcissus pseudonarcissus OX=39639 GN=PSY PE=2 SV=1
Potra2n1c72	chr1	sp|B0KZ40|PSY3_MAIZE Phytoene synthase 3, chloroplastic OS=Zea mays OX=4577 GN=PSY3 PE=1 SV=1
Potra2n1c73	chr1	sp|E4UPP6|LCPS_ARTGP Bifunctional lycopene cyclase/phytoene synthase OS=Arthroderma gypseum (strain ATCC MYA-4604 / CBS 118893) OX=535722 GN=MGYG_02096 PE=3 SV=1
Potra2n1c74	chr1	None available
Potra2n1c75	chr1	None available
Potra2n1c76	chr1	None available
Potra2n1c77	chr1	sp|P54975|CRTB_PARSN 15-cis-phytoene synthase OS=Paracoccus sp. (strain N81106 / MBIC 01143) OX=81397 GN=crtB PE=1 SV=2
Potra2n1c78	chr1	sp|P34430|YL39_CAEEL Uncharacterized protein F44B9.9 OS=Caenorhabditis elegans OX=6239 GN=F44B9.9 PE=4 SV=2
Potra2n1c79	chr1	sp|P40724|RECQ_SALTY ATP-dependent DNA helicase RecQ OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) OX=99287 GN=recQ PE=3 SV=3
Potra2n1c80	chr1	sp|Q9SH13|FB90_ARATH Putative F-box protein At1g77880 OS=Arabidopsis thaliana OX=3702 GN=At1g77880 PE=4 SV=1
Potra2n1c81	chr1	None available
Potra2n1c82	chr1	None available
Potra2n1c83	chr1	sp|Q12501|YO22B_YEAST Transposon Ty2-OR2 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY2B-OR2 PE=1 SV=1
Potra2n1c84	chr1	None available
Potra2n1c85	chr1	sp|P92520|M820_ARATH Uncharacterized mitochondrial protein AtMg00820 OS=Arabidopsis thaliana OX=3702 GN=AtMg00820 PE=4 SV=1
Potra2n1c86	chr1	sp|Q12113|YO21B_YEAST Transposon Ty2-OR1 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY2B-OR1 PE=3 SV=1
Potra2n1c87	chr1	None available
Potra2n1c88	chr1	None available
Potra2n1c89	chr1	None available
Potra2n1c90	chr1	sp|O64864|YLS3_ARATH Protein YLS3 OS=Arabidopsis thaliana OX=3702 GN=YLS3 PE=2 SV=1
Potra2n1c91	chr1	None available
Potra2n1c92	chr1	sp|Q6P0D0|QKIA_DANRE Protein quaking-A OS=Danio rerio OX=7955 GN=qkia PE=2 SV=2
Potra2n1c93	chr1	sp|O74563|BRL2_SCHPO E3 ubiquitin-protein ligase brl2 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=brl2 PE=1 SV=1
Potra2n1c94	chr1	None available
Potra2n1c95	chr1	sp|Q9NWC5|TM45A_HUMAN Transmembrane protein 45A OS=Homo sapiens OX=9606 GN=TMEM45A PE=2 SV=1
Potra2n1c96	chr1	sp|Q9SIA8|DIR10_ARATH Dirigent protein 10 OS=Arabidopsis thaliana OX=3702 GN=DIR10 PE=2 SV=1
Potra2n1c97	chr1	None available
Potra2n1c98	chr1	None available
Potra2n1c99	chr1	None available
Potra2n1c100	chr1	None available
Potra2n1c101	chr1	sp|P16668|MTS3_STAAU Modification methylase Sau3AI OS=Staphylococcus aureus OX=1280 GN=sau3AIM PE=3 SV=1
Potra2n1c102	chr1	sp|P54739|PKAA_STRCO Serine/threonine-protein kinase PkaA OS=Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145) OX=100226 GN=pkaA PE=3 SV=1
Potra2n1c103	chr1	sp|A8GLB1|FIEF_SERP5 Cation-efflux pump FieF OS=Serratia proteamaculans (strain 568) OX=399741 GN=fieF PE=3 SV=1
Potra2n1c104	chr1	sp|Q09700|YA29_SCHPO Uncharacterized protein C2F7.09c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC2F7.09c PE=4 SV=1
Potra2n1c105	chr1	sp|H2KZU7|SVH2_CAEEL Tyrosine-protein kinase receptor svh-2 OS=Caenorhabditis elegans OX=6239 GN=svh-2 PE=1 SV=1
Potra2n1c106	chr1	None available
Potra2n1c107	chr1	sp|Q8G700|FTHS_BIFLO Formate--tetrahydrofolate ligase OS=Bifidobacterium longum (strain NCC 2705) OX=206672 GN=fhs PE=3 SV=1
Potra2n1c108	chr1	sp|Q93ZA5|TBL46_ARATH Putative truncated protein trichome birefringence-like 46 OS=Arabidopsis thaliana OX=3702 GN=TBL46 PE=5 SV=1
Potra2n1c109	chr1	sp|Q9SB81|PER42_ARATH Peroxidase 42 OS=Arabidopsis thaliana OX=3702 GN=PER42 PE=1 SV=2
Potra2n1c110	chr1	None available
Potra2n1c111	chr1	sp|Q8GY91|APX6_ARATH Putative L-ascorbate peroxidase 6 OS=Arabidopsis thaliana OX=3702 GN=APX6 PE=2 SV=1
Potra2n1c112	chr1	sp|P15984|PERX_WHEAT Peroxidase (Fragment) OS=Triticum aestivum OX=4565 PE=2 SV=1
Potra2n1c113	chr1	sp|Q96509|PER55_ARATH Peroxidase 55 OS=Arabidopsis thaliana OX=3702 GN=PER55 PE=1 SV=1
Potra2n1c114	chr1	sp|Q8LAP6|PAP12_ARATH Probable plastid-lipid-associated protein 12, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PAP12 PE=1 SV=1
Potra2n1c115	chr1	None available
Potra2n1c116	chr1	None available
Potra2n1c117	chr1	sp|Q04952|FKS3_YEAST 1,3-beta-glucan synthase component FKS3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FKS3 PE=1 SV=1
Potra2n1c118	chr1	sp|O13967|BGS2_SCHPO 1,3-beta-glucan synthase component bgs2 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=bgs2 PE=2 SV=2
Potra2n1c119	chr1	sp|D1FP57|LIN2_LOTJA Putative E3 ubiquitin-protein ligase LIN-2 OS=Lotus japonicus OX=34305 GN=LIN PE=1 SV=1
Potra2n1c120	chr1	sp|P48627|FAD6C_BRANA Omega-6 fatty acid desaturase, chloroplastic OS=Brassica napus OX=3708 PE=1 SV=1
Potra2n1c121	chr1	sp|G5EGA5|FAT2_CAEEL Delta(12) fatty acid desaturase fat-2 OS=Caenorhabditis elegans OX=6239 GN=fat-2 PE=2 SV=1
Potra2n1c122	chr1	sp|P48627|FAD6C_BRANA Omega-6 fatty acid desaturase, chloroplastic OS=Brassica napus OX=3708 PE=1 SV=1
Potra2n1c123	chr1	None available
Potra2n1c124	chr1	sp|Q4WA38|MNLOX_ASPFU Manganese lipoxygenase OS=Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) OX=330879 GN=AFUA_4G02770 PE=1 SV=1
Potra2n1c125	chr1	None available
Potra2n1c126	chr1	sp|Q4KUS2|UN13A_MOUSE Protein unc-13 homolog A OS=Mus musculus OX=10090 GN=Unc13a PE=1 SV=3
Potra2n1c127	chr1	sp|O23115|EIL2_ARATH ETHYLENE INSENSITIVE 3-like 2 protein OS=Arabidopsis thaliana OX=3702 GN=EIL2 PE=1 SV=1
Potra2n1c128	chr1	None available
Potra2n1c129	chr1	None available
Potra2n1c130	chr1	None available
Potra2n1c131	chr1	None available
Potra2n1c132	chr1	sp|Q54FG7|JMJCF_DICDI JmjC domain-containing protein F OS=Dictyostelium discoideum OX=44689 GN=jcdF PE=4 SV=1
Potra2n1c133	chr1	sp|G3FIN8|UGTK4_MANES Linamarin synthase 1 OS=Manihot esculenta OX=3983 GN=UGT85K4 PE=1 SV=1
Potra2n1c134	chr1	None available
Potra2n1c135	chr1	sp|Q6WFW1|GLT3_CROSA Crocetin glucosyltransferase 3 OS=Crocus sativus OX=82528 GN=GLT3 PE=1 SV=1
Potra2n1c136	chr1	sp|Q43716|UFOG_PETHY Anthocyanidin-3-O-glucoside rhamnosyltransferase OS=Petunia hybrida OX=4102 GN=RT PE=2 SV=1
Potra2n1c137	chr1	sp|Q9LXU9|IRKI_ARATH IRK-interacting protein OS=Arabidopsis thaliana OX=3702 GN=IRKI PE=1 SV=1
Potra2n1c138	chr1	None available
Potra2n1c139	chr1	None available
Potra2n1c140	chr1	sp|Q9V6Q2|CID_DROME Histone H3-like centromeric protein cid OS=Drosophila melanogaster OX=7227 GN=cid PE=1 SV=2
Potra2n1c141	chr1	None available
Potra2n1c142	chr1	None available
Potra2n1c143	chr1	sp|F4KH89|SRS8_ARATH Protein SHI RELATED SEQUENCE 8 OS=Arabidopsis thaliana OX=3702 GN=SRS8 PE=3 SV=1
Potra2n1c144	chr1	sp|Q9ZVC9|FRS3_ARATH Protein FAR1-RELATED SEQUENCE 3 OS=Arabidopsis thaliana OX=3702 GN=FRS3 PE=1 SV=2
Potra2n1c145	chr1	sp|Q9SI06|Y5573_ARATH Putative leucine-rich repeat receptor-like serine/threonine-protein kinase At2g04300 OS=Arabidopsis thaliana OX=3702 GN=At2g04300 PE=3 SV=2
Potra2n1c146	chr1	None available
Potra2n1c147	chr1	None available
Potra2n1c148	chr1	sp|Q0JEU6|LERK3_ORYSJ G-type lectin S-receptor-like serine/threonine-protein kinase LECRK3 OS=Oryza sativa subsp. japonica OX=39947 GN=LECRK3 PE=3 SV=2
Potra2n1c149	chr1	sp|P34240|ZRT3_YEAST Zinc-regulated transporter 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ZRT3 PE=1 SV=2
Potra2n1c150	chr1	sp|Q9SVY1|ZWIP2_ARATH Zinc finger protein WIP2 OS=Arabidopsis thaliana OX=3702 GN=WIP2 PE=1 SV=1
Potra2n1c151	chr1	sp|P0C891|OEP80_PEA Outer envelope protein 80, chloroplastic (Fragments) OS=Pisum sativum OX=3888 GN=OEP80 PE=1 SV=1
Potra2n1c152	chr1	sp|Q4VNC1|AT134_HUMAN Probable cation-transporting ATPase 13A4 OS=Homo sapiens OX=9606 GN=ATP13A4 PE=2 SV=3
Potra2n1c153	chr1	None available
Potra2n1c154	chr1	sp|A1CWA4|S2538_NEOFI Mitochondrial glycine transporter OS=Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181) OX=331117 GN=NFIA_103940 PE=3 SV=1
Potra2n1c155	chr1	sp|Q9QYK7|RNF11_MOUSE RING finger protein 11 OS=Mus musculus OX=10090 GN=Rnf11 PE=1 SV=1
Potra2n1c156	chr1	None available
Potra2n1c157	chr1	None available
Potra2n1c158	chr1	None available
Potra2n1c159	chr1	None available
Potra2n1c160	chr1	sp|P17959|RS9_TRYBB Probable 40S ribosomal protein S9 OS=Trypanosoma brucei brucei OX=5702 PE=3 SV=1
Potra2n1c161	chr1	sp|Q8L649|BB_ARATH E3 ubiquitin-protein ligase BIG BROTHER OS=Arabidopsis thaliana OX=3702 GN=BB PE=1 SV=1
Potra2n1c162	chr1	None available
Potra2n1c163	chr1	None available
Potra2n1c164	chr1	None available
Potra2n1c165	chr1	None available
Potra2n1c166	chr1	None available
Potra2n1c167	chr1	sp|Q8GTS1|BZP24_ARATH Basic leucine zipper 24 OS=Arabidopsis thaliana OX=3702 GN=BZIP24 PE=1 SV=1
Potra2n1c168	chr1	sp|Q84ZT0|C3H51_ORYSJ Putative zinc finger CCCH domain-containing protein 51 OS=Oryza sativa subsp. japonica OX=39947 GN=Os07g0583300 PE=4 SV=1
Potra2n1c169	chr1	None available
Potra2n1c170	chr1	sp|P77868|Y290_HAEIN Probable cation-transporting ATPase HI_0290 OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) OX=71421 GN=HI_0290 PE=3 SV=1
Potra2n1c171	chr1	sp|Q9LQQ1|PPR20_ARATH Pentatricopeptide repeat-containing protein At1g07740, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At1g07740 PE=2 SV=1
Potra2n1c172	chr1	None available
Potra2n1c173	chr1	sp|Q4ZUV7|GPDA_PSEU2 Glycerol-3-phosphate dehydrogenase [NAD(P)+] OS=Pseudomonas syringae pv. syringae (strain B728a) OX=205918 GN=gpsA PE=3 SV=1
Potra2n1c174	chr1	sp|P58710|GGLO_MOUSE L-gulonolactone oxidase OS=Mus musculus OX=10090 GN=Gulo PE=1 SV=3
Potra2n1c175	chr1	None available
Potra2n1c176	chr1	sp|Q9FXI5|IQD32_ARATH Protein IQ-DOMAIN 32 OS=Arabidopsis thaliana OX=3702 GN=IQD32 PE=1 SV=3
Potra2n1c177	chr1	None available
Potra2n1c178	chr1	None available
Potra2n1c179	chr1	None available
Potra2n1c180	chr1	None available
Potra2n1c181	chr1	None available
Potra2n1c182	chr1	None available
Potra2n1c183	chr1	None available
Potra2n1c184	chr1	None available
Potra2n1c185	chr1	None available
Potra2n1c186	chr1	None available
Potra2n1c187	chr1	None available
Potra2n1c188	chr1	sp|B3H5R0|GLYT8_ARATH Glycosyltransferase-like At2g41451 OS=Arabidopsis thaliana OX=3702 GN=At2g41451 PE=3 SV=1
Potra2n1c189	chr1	sp|Q7XBQ9|RGA2_SOLBU Disease resistance protein RGA2 OS=Solanum bulbocastanum OX=147425 GN=RGA2 PE=1 SV=1
Potra2n1c190	chr1	sp|Q7XBQ9|RGA2_SOLBU Disease resistance protein RGA2 OS=Solanum bulbocastanum OX=147425 GN=RGA2 PE=1 SV=1
Potra2n1c191	chr1	sp|Q9LRR5|DRL21_ARATH Putative disease resistance protein At3g14460 OS=Arabidopsis thaliana OX=3702 GN=At3g14460 PE=3 SV=1
Potra2n1c192	chr1	sp|Q54Y96|SMU1_DICDI WD40 repeat-containing protein smu1 OS=Dictyostelium discoideum OX=44689 GN=smu1 PE=3 SV=2
Potra2n1c193	chr1	None available
Potra2n1c194	chr1	None available
Potra2n1c195	chr1	sp|Q94AR4|CID2_ARATH Polyadenylate-binding protein-interacting protein 2 OS=Arabidopsis thaliana OX=3702 GN=CID2 PE=2 SV=1
Potra2n1c196	chr1	None available
Potra2n1c197	chr1	None available
Potra2n1c198	chr1	sp|O48840|PPA13_ARATH Purple acid phosphatase 13 OS=Arabidopsis thaliana OX=3702 GN=PAP13 PE=2 SV=2
Potra2n1c199	chr1	sp|A0A1P8BH59|PICBP_ARATH Calmodulin binding protein PICBP OS=Arabidopsis thaliana OX=3702 GN=PICBP PE=2 SV=1
Potra2n1c200	chr1	None available
Potra2n1c201	chr1	sp|P38805|RPF1_YEAST Ribosome production factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPF1 PE=1 SV=1
Potra2n1c202	chr1	sp|Q5EFZ4|VAC8_PICPA Vacuolar protein 8 OS=Komagataella pastoris OX=4922 GN=VAC8 PE=3 SV=3
Potra2n1c203	chr1	sp|Q3ZC08|ANXA9_BOVIN Annexin A9 OS=Bos taurus OX=9913 GN=ANXA9 PE=2 SV=1
Potra2n1c204	chr1	sp|Q9JHQ0|ANXA9_MOUSE Annexin A9 OS=Mus musculus OX=10090 GN=Anxa9 PE=2 SV=2
Potra2n1c205	chr1	sp|A8MQN2|LNK1_ARATH Protein LNK1 OS=Arabidopsis thaliana OX=3702 GN=LNK1 PE=1 SV=1
Potra2n1c206	chr1	sp|A0A482NAF7|ICCC_TALVA Cytochrome P450 monooxygenase iccC OS=Talaromyces variabilis OX=28576 GN=iccC PE=1 SV=1
Potra2n1c207	chr1	sp|A6NIV6|LRIQ4_HUMAN Leucine-rich repeat and IQ domain-containing protein 4 OS=Homo sapiens OX=9606 GN=LRRIQ4 PE=4 SV=2
Potra2n1c208	chr1	sp|Q9FJL8|RP5L1_ARATH DNA-directed RNA polymerase subunit 5-like protein 1 OS=Arabidopsis thaliana OX=3702 GN=NRPB5L1 PE=3 SV=1
Potra2n1c209	chr1	sp|Q94FT2|SKIP5_ARATH F-box protein SKIP5 OS=Arabidopsis thaliana OX=3702 GN=SKIP5 PE=1 SV=1
Potra2n1c210	chr1	sp|Q2U6P1|BGALB_ASPOR Probable beta-galactosidase B OS=Aspergillus oryzae (strain ATCC 42149 / RIB 40) OX=510516 GN=lacB PE=3 SV=2
Potra2n1c211	chr1	sp|Q5BEQ0|BGALB_EMENI Probable beta-galactosidase B OS=Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) OX=227321 GN=lacB PE=3 SV=2
Potra2n1c212	chr1	None available
Potra2n1c213	chr1	sp|Q9SYG2|ASIL1_ARATH Trihelix transcription factor ASIL1 OS=Arabidopsis thaliana OX=3702 GN=ASIL1 PE=1 SV=1
Potra2n1c214	chr1	sp|Q30P36|MTNA_SULDN Methylthioribose-1-phosphate isomerase OS=Sulfurimonas denitrificans (strain ATCC 33889 / DSM 1251) OX=326298 GN=mtnA PE=3 SV=1
Potra2n1c215	chr1	sp|Q2TAD9|CYR1B_XENLA Cysteine and histidine-rich protein 1-B OS=Xenopus laevis OX=8355 GN=cyhr1-b PE=2 SV=2
Potra2n1c216	chr1	sp|Q20WV6|PYRE_RHOPB Orotate phosphoribosyltransferase OS=Rhodopseudomonas palustris (strain BisB18) OX=316056 GN=pyrE PE=3 SV=1
Potra2n1c217	chr1	sp|K8FE10|SYT2_CAEEL Synaptotagmin 2 OS=Caenorhabditis elegans OX=6239 GN=snt-2 PE=1 SV=1
Potra2n1c218	chr1	sp|Q9SIY3|TTM3_ARATH Triphosphate tunnel metalloenzyme 3 OS=Arabidopsis thaliana OX=3702 GN=TTM3 PE=1 SV=1
Potra2n1c219	chr1	sp|Q9W4S1|GRCR2_DROME Glutaredoxin domain-containing cysteine-rich protein CG12206 OS=Drosophila melanogaster OX=7227 GN=CG12206 PE=2 SV=2
Potra2n1c220	chr1	sp|Q9VEB5|SRR1L_DROME SRR1-like protein OS=Drosophila melanogaster OX=7227 GN=CG7988 PE=1 SV=1
Potra2n1c221	chr1	sp|Q8AVS9|DCA10_XENLA DDB1- and CUL4-associated factor 10 OS=Xenopus laevis OX=8355 GN=dcaf10 PE=2 SV=1
Potra2n1c222	chr1	sp|Q68DK2|ZFY26_HUMAN Zinc finger FYVE domain-containing protein 26 OS=Homo sapiens OX=9606 GN=ZFYVE26 PE=1 SV=3
Potra2n1c223	chr1	sp|P0DMC5|RCSC_ECOLI Sensor histidine kinase RcsC OS=Escherichia coli (strain K12) OX=83333 GN=rcsC PE=1 SV=1
Potra2n1c224	chr1	sp|P94408|YCLF_BACSU Uncharacterized transporter YclF OS=Bacillus subtilis (strain 168) OX=224308 GN=yclF PE=3 SV=2
Potra2n1c225	chr1	sp|Q03585|RPOA1_THEAC DNA-directed RNA polymerase subunit A' OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=rpoA1 PE=3 SV=1
Potra2n1c226	chr1	sp|Q59750|BGAL_RHIML Beta-galactosidase OS=Rhizobium meliloti OX=382 GN=lacZ PE=1 SV=1
